method,split,seed,mean_success,ci95_success,mean_final_error,ci95_final_error,mean_energy,ci95_energy,accept_rate,false_accept_rate,false_reject_rate,mean_contract_score,episodes,seeds
conformal_transfer_filter,actuator_lag,0,1.0000,0.0000,0.0537,0.0066,0.3635,0.0207,1.0000,0.0000,0.0000,0.3869,12,1
conformal_transfer_filter,actuator_lag,1,1.0000,0.0000,0.0543,0.0042,0.3454,0.0214,0.7500,0.0000,0.2500,0.7145,12,1
conformal_transfer_filter,actuator_lag,2,0.9167,0.1633,0.0591,0.0057,0.3691,0.0168,0.9167,0.0000,0.0000,0.5321,12,1
conformal_transfer_filter,actuator_lag,3,1.0000,0.0000,0.0557,0.0043,0.3636,0.0181,1.0000,0.0000,0.0000,0.4910,12,1
conformal_transfer_filter,actuator_lag,4,1.0000,0.0000,0.0611,0.0038,0.3758,0.0159,1.0000,0.0000,0.0000,0.2925,12,1
conformal_transfer_filter,combined_gap,0,0.5833,0.2913,0.0930,0.0350,0.5018,0.0224,0.5000,0.2500,0.3333,1.3877,12,1
conformal_transfer_filter,combined_gap,1,0.4167,0.2913,0.1002,0.0282,0.5250,0.0574,0.2500,0.1667,0.3333,3.0960,12,1
conformal_transfer_filter,combined_gap,2,0.5000,0.2955,0.1154,0.0464,0.5021,0.0437,0.6667,0.4167,0.2500,2.2575,12,1
conformal_transfer_filter,combined_gap,3,0.6667,0.2786,0.0791,0.0256,0.5480,0.0525,0.5000,0.2500,0.4167,2.0425,12,1
conformal_transfer_filter,combined_gap,4,0.6667,0.2786,0.0747,0.0234,0.5222,0.0438,0.2500,0.0000,0.4167,2.6648,12,1
conformal_transfer_filter,high_friction,0,1.0000,0.0000,0.0155,0.0048,0.5461,0.0259,0.8333,0.0000,0.1667,0.5864,12,1
conformal_transfer_filter,high_friction,1,1.0000,0.0000,0.0086,0.0011,0.4978,0.0241,1.0000,0.0000,0.0000,0.5444,12,1
conformal_transfer_filter,high_friction,2,1.0000,0.0000,0.0108,0.0041,0.5287,0.0267,1.0000,0.0000,0.0000,0.3514,12,1
conformal_transfer_filter,high_friction,3,1.0000,0.0000,0.0106,0.0045,0.5428,0.0266,1.0000,0.0000,0.0000,0.4564,12,1
conformal_transfer_filter,high_friction,4,1.0000,0.0000,0.0104,0.0029,0.5390,0.0222,1.0000,0.0000,0.0000,0.4911,12,1
